,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Daily Grand Total,"143,101,700",,Monthly Grand Total,"143,101,700",,Annual Grand Total,"142,845,681",,,,,,,
,,,,,,,,,,,,,,
Day,Number of Bicycle Hires,,Month,Number of Bicycle Hires,,Year,Number of Bicycle Hires,,,Month,Average Hire Time (mins),,Against last month,Against last year
06/06/2021,"41,583",,,,,,,,,,,,,
07/06/2021,"39,537",,,,,,,,,,,,,
08/06/2021,"44,797",,,,,,,,,,,,,
09/06/2021,"46,634",,,,,,,,,,,,,
10/06/2021,"44,446",,,,,,,,,,,,,
11/06/2021,"44,189",,,,,,,,,,,,,
12/06/2021,"56,320",,,,,,,,,,,,,
13/06/2021,"48,667",,,,,,,,,,,,,
14/06/2021,"41,079",,,,,,,,,,,,,
15/06/2021,"44,263",,,,,,,,,,,,,
16/06/2021,"44,053",,,,,,,,,,,,,
17/06/2021,"30,035",,,,,,,,,,,,,
18/06/2021,"19,026",,,,,,,,,,,,,
19/06/2021,"35,712",,,,,,,,,,,,,
20/06/2021,"28,882",,,,,,,,,,,,,
21/06/2021,"20,316",,,,,,,,,,,,,
22/06/2021,"35,381",,,,,,,,,,,,,
23/06/2021,"42,302",,,,,,,,,,,,,
24/06/2021,"40,671",,,,,,,,,,,,,
25/06/2021,"39,273",,,,,,,,,,,,,
26/06/2021,"50,000",,,,,,,,,,,,,
27/06/2021,"29,887",,,,,,,,,,,,,
28/06/2021,"28,741",,,,,,,,,,,,,
29/06/2021,"31,728",,,,,,,,,,,,,
30/06/2021,"36,904",,,,,,,,,,,,,
01/07/2021,"41,632",,,,,,,,,,,,,
02/07/2021,"42,401",,,,,,,,,,,,,
03/07/2021,"39,893",,,,,,,,,,,,,
04/07/2021,"32,729",,,,,,,,,,,,,
05/07/2021,"30,628",,,,,,,,,,,,,
06/07/2021,"24,203",,,,,,,,,,,,,
07/07/2021,"38,170",,,,,,,,,,,,,
08/07/2021,"38,057",,,,,,,,,,,,,
09/07/2021,"39,294",,,,,,,,,,,,,
10/07/2021,"40,202",,,,,,,,,,,,,
11/07/2021,"41,740",,,,,,,,,,,,,
12/07/2021,"26,224",,,,,,,,,,,,,
13/07/2021,"38,763",,,,,,,,,,,,,
